genus,species,family,demersal,benthopelagic,bathydemersal,pelagic,pelagic-neritic,pelagic-oceanic,reef-associated,epipelagic,mesopelagic,bathypelagic,abyssopelagic,marine,freshwater,brackish,anadromous,catadromous,amphidromous,potamodromous,limnodromous,oceanodromous,non-migratory,min_depth_m,max_depth_m,usual_min_depth_m,usual_max_depth_m,min_ph,max_ph,min_dh,max_dh,url
paracanthobrama,guichenoti,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Paracanthobrama_guichenoti.html
glyptoparus,delicatulus,blenniidae,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.0,8.0,0.0,3.0,,,,,https://www.fishbase.net.br/summary/Glyptoparus_delicatulus.html
hypsibarbus,wetmorei,cyprinidae,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,https://www.fishbase.de/summary/Hypsibarbus_wetmorei.html
leporinus,maculatus,anostomidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,6.0,7.2,,,https://www.fishbase.ca/summary/Leporinus_maculatus.html
parascorpaena,mcadamsi,scorpaenidae,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,7.0,40.0,,,,,,,https://www.fishbase.ca/summary/Parascorpaena_mcadamsi.html
pervagor,marginalis,monacanthidae,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,https://www.fishbase.se/summary/Pervagor_marginalis.html
megalocottus,platycephalus,cottidae,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,0.0,120.0,,,,,,,https://www.fishbase.ca/summary/Megalocottus_platycephalus.html
etroplus,suratensis,cichlidae,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,10.0,?,,,,,,,https://www.fishbase.de/summary/Etroplus_suratensis.html
oncorhynchus,kisutch,Salmonidae,,,,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,0.0,250.0,,,,,,,https://www.fishbase.se/summary/Oncorhynchus_kisutch.html
labidesthes,sicculus,atherinopsidae,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.net.br/summary/Labidesthes_sicculus.html
schistura,sexcauda,nemacheilidae,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,https://www.fishbase.ca/summary/Schistura_sexcauda.html
hyporhamphus,neglectus,hemiramphidae,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,0.0,?,,,,,,,https://www.fishbase.ca/summary/Hyporhamphus_neglectus.html
